score,rank,ethnicity,gender,language,age,cls_level,bty_avg
4.7,tenure track,minority,female,english,36,upper,5
4.1,tenure track,minority,female,english,36,upper,5
3.9,tenure track,minority,female,english,36,upper,5
4.8,tenure track,minority,female,english,36,upper,5
4.6,tenured,not minority,male,english,59,upper,3
4.3,tenured,not minority,male,english,59,upper,3
2.8,tenured,not minority,male,english,59,upper,3
4.1,tenured,not minority,male,english,51,upper,3.333
3.4,tenured,not minority,male,english,51,upper,3.333
4.5,tenured,not minority,female,english,40,upper,3.167
3.8,tenured,not minority,female,english,40,upper,3.167
4.5,tenured,not minority,female,english,40,upper,3.167
4.6,tenured,not minority,female,english,40,upper,3.167
3.9,tenured,not minority,female,english,40,upper,3.167
3.9,tenured,not minority,female,english,40,upper,3.167
4.3,tenured,not minority,female,english,40,upper,3.167
4.5,tenured,not minority,female,english,40,upper,3.167
4.8,tenure track,not minority,female,english,31,upper,7.333
4.6,tenure track,not minority,female,english,31,upper,7.333
4.6,tenure track,not minority,female,english,31,upper,7.333
4.9,tenure track,not minority,female,english,31,upper,7.333
4.6,tenure track,not minority,female,english,31,upper,7.333
4.5,tenure track,not minority,female,english,31,upper,7.333
4.4,tenured,not minority,male,english,62,upper,5.5
4.6,tenured,not minority,male,english,62,upper,5.5
4.7,tenured,not minority,male,english,62,upper,5.5
4.5,tenured,not minority,male,english,62,upper,5.5
4.8,tenured,not minority,male,english,62,upper,5.5
4.9,tenured,not minority,male,english,62,upper,5.5
4.5,tenured,not minority,male,english,62,upper,5.5
4.4,tenure track,not minority,female,english,33,upper,4.167
4.3,tenure track,not minority,female,english,33,upper,4.167
4.1,tenure track,not minority,female,english,33,upper,4.167
4.2,tenure track,not minority,female,english,33,upper,4.167
3.5,tenure track,not minority,female,english,33,upper,4.167
3.4,tenured,not minority,female,english,51,upper,4
4.5,tenured,not minority,female,english,51,upper,4
4.4,tenured,not minority,female,english,51,upper,4
4.4,tenured,not minority,female,english,51,upper,4
2.5,tenured,not minority,female,english,51,lower,4
4.3,tenured,not minority,female,english,51,upper,4
4.5,tenured,not minority,female,english,51,upper,4
4.8,tenure track,not minority,female,english,33,upper,4.667
4.8,tenure track,not minority,female,english,33,upper,4.667
4.4,tenure track,not minority,female,english,33,upper,4.667
4.7,tenure track,not minority,female,english,33,upper,4.667
4.4,tenure track,not minority,female,english,33,upper,4.667
4.7,tenure track,not minority,female,english,33,upper,4.667
4.5,tenure track,not minority,female,english,33,upper,4.667
4,teaching,not minority,male,english,47,upper,5.5
4.3,teaching,not minority,male,english,47,upper,5.5
4.4,teaching,not minority,male,english,47,upper,5.5
4.5,teaching,not minority,male,english,47,upper,5.5
5,teaching,not minority,male,english,47,lower,5.5
4.9,teaching,not minority,male,english,47,lower,5.5
4.6,teaching,not minority,male,english,47,upper,5.5
5,teaching,not minority,male,english,47,lower,5.5
4.7,teaching,not minority,male,english,47,upper,5.5
5,teaching,not minority,male,english,47,lower,5.5
3.6,tenure track,minority,male,non-english,35,upper,4.833
3.7,tenure track,minority,male,non-english,35,upper,4.833
4.3,tenure track,minority,male,non-english,35,upper,4.833
4.1,teaching,not minority,male,english,37,upper,4.333
4.2,teaching,not minority,male,english,37,upper,4.333
4.7,teaching,not minority,male,english,37,upper,4.333
4.7,teaching,not minority,male,english,37,upper,4.333
3.5,teaching,not minority,male,english,37,upper,4.333
4.1,tenured,not minority,male,english,42,upper,4.833
4.2,tenured,not minority,male,english,42,upper,4.833
4,tenured,not minority,male,english,42,upper,4.833
4,tenured,not minority,male,english,42,upper,4.833
3.9,tenured,not minority,male,english,42,upper,4.833
4.4,tenured,not minority,male,english,42,upper,4.833
3.8,tenured,not minority,male,english,42,upper,4.833
3.5,tenured,not minority,male,non-english,49,upper,4
4.2,tenured,not minority,male,non-english,49,upper,4
3.5,tenured,not minority,male,non-english,49,upper,4
3.6,tenured,not minority,male,non-english,49,upper,4
2.9,tenure track,not minority,female,english,37,upper,5.5
3.3,tenure track,not minority,female,english,37,upper,5.5
3.3,tenure track,not minority,female,english,37,upper,5.5
3.2,tenure track,not minority,female,english,37,upper,5.5
4.6,tenured,not minority,male,english,45,upper,4.167
4.2,tenured,not minority,male,english,45,lower,4.167
4.3,tenured,not minority,male,english,45,lower,4.167
4.4,tenured,not minority,male,english,45,upper,4.167
4.1,tenured,not minority,male,english,45,upper,4.167
4.6,tenured,not minority,male,english,45,lower,4.167
4.4,teaching,not minority,female,english,56,upper,2.5
4.8,teaching,not minority,female,english,56,upper,2.5
4.3,teaching,not minority,female,english,56,upper,2.5
3.6,teaching,not minority,female,english,56,upper,2.5
4.3,teaching,not minority,female,english,56,upper,2.5
4,teaching,not minority,male,english,48,lower,4.333
4.2,teaching,not minority,male,english,48,upper,4.333
4.1,teaching,not minority,male,english,48,upper,4.333
4.1,teaching,not minority,male,english,48,lower,4.333
4.4,teaching,not minority,male,english,48,lower,4.333
4.3,teaching,not minority,male,english,48,upper,4.333
4.4,teaching,not minority,male,english,48,lower,4.333
4.4,teaching,not minority,male,english,48,lower,4.333
4.9,tenured,not minority,female,english,46,upper,4.333
5,tenured,not minority,female,english,46,lower,4.333
4.4,tenured,not minority,female,english,46,upper,4.333
4.8,tenured,not minority,female,english,46,upper,4.333
4.9,tenured,not minority,female,english,46,upper,4.333
4.3,tenured,not minority,female,english,46,upper,4.333
5,tenured,not minority,female,english,46,lower,4.333
4.7,tenured,not minority,female,english,46,upper,4.333
4.5,tenured,not minority,female,english,46,lower,4.333
3.5,teaching,not minority,female,english,57,upper,4.333
3.9,teaching,not minority,female,english,57,upper,4.333
4,teaching,not minority,female,english,57,upper,4.333
4,teaching,not minority,female,english,57,upper,4.333
3.7,teaching,not minority,female,english,57,upper,4.333
3.4,teaching,not minority,female,english,57,upper,4.333
3.3,teaching,not minority,female,english,57,upper,4.333
3.8,teaching,not minority,female,english,57,upper,4.333
3.9,teaching,not minority,female,english,57,upper,4.333
3.4,teaching,not minority,female,english,57,upper,4.333
3.7,teaching,not minority,female,english,52,upper,4.833
4.1,teaching,not minority,female,english,52,upper,4.833
3.7,teaching,not minority,female,english,52,upper,4.833
3.5,teaching,not minority,female,english,52,upper,4.833
3.5,teaching,not minority,female,english,52,upper,4.833
4.4,teaching,not minority,female,english,52,upper,4.833
3.4,tenure track,minority,female,non-english,29,upper,2.833
4.3,tenured,not minority,male,english,62,upper,3
3.7,tenured,not minority,male,english,62,lower,3
4.7,tenured,not minority,male,english,62,upper,3
3.9,tenured,not minority,male,english,62,lower,3
3.6,tenured,not minority,male,english,62,lower,3
4.5,tenured,not minority,male,english,64,upper,4.167
4.5,tenured,not minority,male,english,64,upper,4.167
4.8,tenured,not minority,male,english,64,upper,4.167
4.8,tenured,not minority,male,english,64,upper,4.167
4.7,tenured,not minority,male,english,64,upper,4.167
4.5,tenured,not minority,male,english,64,upper,4.167
4.3,tenured,not minority,male,english,64,upper,4.167
4.8,tenure track,not minority,female,english,34,upper,7.833
4.1,tenure track,not minority,female,english,34,upper,7.833
4.4,tenured,not minority,male,english,58,upper,3.833
4.3,tenured,not minority,male,english,58,upper,3.833
3.6,tenured,not minority,male,english,58,lower,3.833
4.5,tenured,not minority,male,english,58,upper,3.833
4.3,tenured,not minority,male,english,58,lower,3.833
4.4,tenured,minority,male,non-english,52,upper,4.833
4.7,tenured,minority,male,non-english,52,upper,4.833
4.8,tenured,minority,male,non-english,52,upper,4.833
3.5,tenured,minority,male,non-english,52,upper,4.833
3.8,tenured,minority,male,non-english,52,upper,4.833
3.6,tenured,minority,male,non-english,52,upper,4.833
4.2,tenured,minority,male,non-english,52,upper,4.833
3.6,tenured,not minority,male,english,73,upper,3
4.4,tenured,not minority,male,english,73,upper,3
3.7,tenured,not minority,male,english,73,upper,3
4.3,tenured,not minority,male,english,73,upper,3
4.6,tenured,not minority,male,english,70,upper,3
4.6,tenured,not minority,male,english,70,upper,3
4.1,tenured,not minority,male,english,70,upper,3
3.6,tenured,not minority,male,english,70,upper,3
2.3,tenure track,not minority,female,english,41,upper,5.167
4.3,teaching,not minority,male,english,63,upper,4.333
4.4,teaching,not minority,male,english,63,upper,4.333
3.6,teaching,not minority,male,english,63,upper,4.333
4.4,teaching,not minority,male,english,63,upper,4.333
3.9,teaching,not minority,male,english,63,upper,4.333
3.8,teaching,not minority,male,english,63,upper,4.333
3.4,teaching,not minority,male,english,63,upper,4.333
4.9,tenured,not minority,male,english,47,upper,2.667
4.1,tenured,not minority,male,english,47,upper,2.667
3.2,tenured,not minority,male,english,47,upper,2.667
4.2,tenured,not minority,male,english,39,lower,5.5
3.9,tenured,not minority,male,english,39,lower,5.5
4.9,tenured,not minority,male,english,39,upper,5.5
4.7,tenured,not minority,male,english,39,upper,5.5
4.4,tenured,not minority,male,english,39,upper,5.5
4.2,tenure track,minority,female,english,47,lower,4.333
4,tenure track,minority,female,english,47,upper,4.333
4.4,tenure track,minority,female,english,47,lower,4.333
3.9,tenure track,minority,female,english,47,lower,4.333
4.4,tenure track,minority,female,english,47,upper,4.333
3,tenure track,minority,female,english,47,lower,4.333
3.5,tenure track,minority,female,english,47,lower,4.333
2.8,tenure track,minority,female,english,47,lower,4.333
4.6,tenure track,minority,female,english,47,lower,4.333
4.3,tenure track,minority,female,english,47,lower,4.333
3.4,tenure track,minority,female,english,47,lower,4.333
3,tenure track,minority,female,english,47,lower,4.333
4.2,tenure track,minority,female,english,47,lower,4.333
4.3,tenured,not minority,male,english,54,upper,2.333
4.1,tenured,not minority,male,english,54,upper,2.333
