Sales,Trend,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
6632,1,1,0,0,0,0,0,0,0,0,0,0,0
6534,2,0,1,0,0,0,0,0,0,0,0,0,0
6675,3,0,0,1,0,0,0,0,0,0,0,0,0
6692,4,0,0,0,1,0,0,0,0,0,0,0,0
6984,5,0,0,0,0,1,0,0,0,0,0,0,0
7133,6,0,0,0,0,0,1,0,0,0,0,0,0
6385,7,0,0,0,0,0,0,1,0,0,0,0,0
7364,8,0,0,0,0,0,0,0,1,0,0,0,0
7171,9,0,0,0,0,0,0,0,0,1,0,0,0
8690,10,0,0,0,0,0,0,0,0,0,1,0,0
10299,11,0,0,0,0,0,0,0,0,0,0,1,0
11997,12,0,0,0,0,0,0,0,0,0,0,0,1
6979,13,1,0,0,0,0,0,0,0,0,0,0,0
6962,14,0,1,0,0,0,0,0,0,0,0,0,0
7606,15,0,0,1,0,0,0,0,0,0,0,0,0
7909,16,0,0,0,1,0,0,0,0,0,0,0,0
8504,17,0,0,0,0,1,0,0,0,0,0,0,0
7977,18,0,0,0,0,0,1,0,0,0,0,0,0
7816,19,0,0,0,0,0,0,1,0,0,0,0,0
6520,20,0,0,0,0,0,0,0,1,0,0,0,0
8525,21,0,0,0,0,0,0,0,0,1,0,0,0
9510,22,0,0,0,0,0,0,0,0,0,1,0,0
12079,23,0,0,0,0,0,0,0,0,0,0,1,0
13746,24,0,0,0,0,0,0,0,0,0,0,0,1
8225,25,1,0,0,0,0,0,0,0,0,0,0,0
8164,26,0,1,0,0,0,0,0,0,0,0,0,0
9324,27,0,0,1,0,0,0,0,0,0,0,0,0
8820,28,0,0,0,1,0,0,0,0,0,0,0,0
9313,29,0,0,0,0,1,0,0,0,0,0,0,0
9419,30,0,0,0,0,0,1,0,0,0,0,0,0
8700,31,0,0,0,0,0,0,1,0,0,0,0,0
6960,32,0,0,0,0,0,0,0,1,0,0,0,0
9091,33,0,0,0,0,0,0,0,0,1,0,0,0
10933,34,0,0,0,0,0,0,0,0,0,1,0,0
13117,35,0,0,0,0,0,0,0,0,0,0,1,0
15337,36,0,0,0,0,0,0,0,0,0,0,0,1
11267,37,1,0,0,0,0,0,0,0,0,0,0,0
8889,38,0,1,0,0,0,0,0,0,0,0,0,0
9612,39,0,0,1,0,0,0,0,0,0,0,0,0
10511,40,0,0,0,1,0,0,0,0,0,0,0,0
10571,41,0,0,0,0,1,0,0,0,0,0,0,0
10644,42,0,0,0,0,0,1,0,0,0,0,0,0
9766,43,0,0,0,0,0,0,1,0,0,0,0,0
7672,44,0,0,0,0,0,0,0,1,0,0,0,0
11016,45,0,0,0,0,0,0,0,0,1,0,0,0
11802,46,0,0,0,0,0,0,0,0,0,1,0,0
14923,47,0,0,0,0,0,0,0,0,0,0,1,0
17460,48,0,0,0,0,0,0,0,0,0,0,0,1
10053,49,1,0,0,0,0,0,0,0,0,0,0,0
10807,50,0,1,0,0,0,0,0,0,0,0,0,0
10713,51,0,0,1,0,0,0,0,0,0,0,0,0
10731,52,0,0,0,1,0,0,0,0,0,0,0,0
11344,53,0,0,0,0,1,0,0,0,0,0,0,0
11510,54,0,0,0,0,0,1,0,0,0,0,0,0
10725,55,0,0,0,0,0,0,1,0,0,0,0,0
8395,56,0,0,0,0,0,0,0,1,0,0,0,0
11983,57,0,0,0,0,0,0,0,0,1,0,0,0
14028,58,0,0,0,0,0,0,0,0,0,1,0,0
17202,59,0,0,0,0,0,0,0,0,0,0,1,0
18821,60,0,0,0,0,0,0,0,0,0,0,0,1
11098,61,1,0,0,0,0,0,0,0,0,0,0,0
11089,62,0,1,0,0,0,0,0,0,0,0,0,0
11730,63,0,0,1,0,0,0,0,0,0,0,0,0
11534,64,0,0,0,1,0,0,0,0,0,0,0,0
12323,65,0,0,0,0,1,0,0,0,0,0,0,0
12067,66,0,0,0,0,0,1,0,0,0,0,0,0
10893,67,0,0,0,0,0,0,1,0,0,0,0,0
9137,68,0,0,0,0,0,0,0,1,0,0,0,0
12805,69,0,0,0,0,0,0,0,0,1,0,0,0
14612,70,0,0,0,0,0,0,0,0,0,1,0,0
18844,71,0,0,0,0,0,0,0,0,0,0,1,0
22207,72,0,0,0,0,0,0,0,0,0,0,0,1
10272,73,1,0,0,0,0,0,0,0,0,0,0,0
10602,74,0,1,0,0,0,0,0,0,0,0,0,0
11156,75,0,0,1,0,0,0,0,0,0,0,0,0
11602,76,0,0,0,1,0,0,0,0,0,0,0,0
10791,77,0,0,0,0,1,0,0,0,0,0,0,0
11970,78,0,0,0,0,0,1,0,0,0,0,0,0
12269,79,0,0,0,0,0,0,1,0,0,0,0,0
9686,80,0,0,0,0,0,0,0,1,0,0,0,0
13442,81,0,0,0,0,0,0,0,0,1,0,0,0
14774,82,0,0,0,0,0,0,0,0,0,1,0,0
18460,83,0,0,0,0,0,0,0,0,0,0,1,0
21951,84,0,0,0,0,0,0,0,0,0,0,0,1
12287,85,1,0,0,0,0,0,0,0,0,0,0,0
11519,86,0,1,0,0,0,0,0,0,0,0,0,0
12767,87,0,0,1,0,0,0,0,0,0,0,0,0
13235,88,0,0,0,1,0,0,0,0,0,0,0,0
13643,89,0,0,0,0,1,0,0,0,0,0,0,0
13552,90,0,0,0,0,0,1,0,0,0,0,0,0
13349,91,0,0,0,0,0,0,1,0,0,0,0,0
10240,92,0,0,0,0,0,0,0,1,0,0,0,0
14781,93,0,0,0,0,0,0,0,0,1,0,0,0
17123,94,0,0,0,0,0,0,0,0,0,1,0,0
20396,95,0,0,0,0,0,0,0,0,0,0,1,0
23609,96,0,0,0,0,0,0,0,0,0,0,0,1
14031,97,1,0,0,0,0,0,0,0,0,0,0,0
13109,98,0,1,0,0,0,0,0,0,0,0,0,0
14248,99,0,0,1,0,0,0,0,0,0,0,0,0
14468,100,0,0,0,1,0,0,0,0,0,0,0,0
14250,101,0,0,0,0,1,0,0,0,0,0,0,0
15024,102,0,0,0,0,0,1,0,0,0,0,0,0
13837,103,0,0,0,0,0,0,1,0,0,0,0,0
10522,104,0,0,0,0,0,0,0,1,0,0,0,0
