name,type,for_profit,admissions_rate,average_net_price_public,average_net_price_private,median_10yr_earnings,median_debt,completion_rate,average_net_price
Alabama A & M University,Public,No,0.9027,15184,NULL,31000,15000,0.2396,15184
University of Alabama at Birmingham,Public,No,0.9181,17535,NULL,41200,15000,0.5292,17535
Amridge University,Private,No,NULL,NULL,9649,39600,13207,0.1818,9649
University of Alabama in Huntsville,Public,No,0.8123,19986,NULL,46700,14000,0.4862,19986
Alabama State University,Public,No,0.9787,12874,NULL,27700,18950,0.2769,12874
The University of Alabama,Public,No,0.533,21973,NULL,44500,17500,0.6787,21973
Auburn University at Montgomery,Public,No,0.8254,15310,NULL,33300,12500,0.2765,15310
Auburn University,Public,No,0.8393,23416,NULL,48800,16380,0.7658,23416
South University-Montgomery,Private,Yes,NULL,NULL,20811,33400,12667,0.1915,20811
Faulkner University,Private,No,0.5101,NULL,23562,35400,15500,0.2801,23562
Herzing University-Birmingham,Private,No,0.757,NULL,24520,37800,12695,0.44,24520
Jacksonville State University,Public,No,0.5402,18074,NULL,35800,15999,0.3721,18074
University of West Alabama,Public,No,0.2821,13512,NULL,37400,14250,0.3324,13512
University of Mobile,Private,No,0.4702,NULL,19125,35200,19500,0.4476,19125
University of Montevallo,Public,No,0.6445,17020,NULL,34200,17213,0.503,17020
University of North Alabama,Public,No,0.7022,12754,NULL,37800,14250,0.4454,12754
Oakwood University,Private,No,0.4707,NULL,25539,29700,21500,0.4715,25539
Samford University,Private,No,0.8319,NULL,29032,49900,15500,0.7581,29032
University of South Alabama,Public,No,0.8208,15082,NULL,37800,16750,0.4007,15082
Spring Hill College,Private,No,0.4568,NULL,21275,45100,19500,0.5254,21275
Troy University,Public,No,0.8812,13349,NULL,37000,15500,0.39,13349
Tuskegee University,Private,No,0.5032,NULL,32907,35500,22053,0.5193,32907
University of Alaska Anchorage,Public,No,0.8283,13378,NULL,45400,11000,0.2431,13378
University of Alaska Fairbanks,Public,No,0.767,9988,NULL,38700,11000,0.3018,9988
University of Alaska Southeast,Public,No,0.7105,10643,NULL,36000,10720,0.2408,10643
Alaska Pacific University,Private,No,0.86,NULL,18518,40200,15875,0.5294,18518
Charter College,Private,Yes,NULL,NULL,30904,39800,13000,0.4749,30904
Brookline College-Phoenix,Private,Yes,NULL,NULL,29368,21900,9500,0.2565,29368
Arizona State University-Tempe,Public,No,0.8415,11163,NULL,47700,14271,0.6335,11163
University of Arizona,Public,No,0.8358,14821,NULL,47300,14000,0.6361,14821
Southwest University of Visual Arts-Tucson,Private,Yes,NULL,NULL,27145,30200,32875,0.5833,27145
Embry-Riddle Aeronautical University-Prescott,Private,No,0.7652,NULL,32898,66200,13750,0.596,32898
Grand Canyon University,Private,Yes,0.6692,NULL,20570,52700,12500,0.4075,20570
Northern Arizona University,Public,No,0.8085,14789,NULL,40100,12577,0.5529,14789
Prescott College,Private,No,0.9526,NULL,20968,33200,14024,0.4355,20968
Western International University,Private,Yes,NULL,NULL,6312,35000,12782,0.0739,6312
University of Arkansas at Little Rock,Public,No,0.7463,13729,NULL,34900,13700,0.3199,13729
University of Arkansas,Public,No,0.6596,16069,NULL,44900,14596,0.6152,16069
University of Arkansas at Pine Bluff,Public,No,0.4669,8692,NULL,27200,12624,0.2855,8692
Arkansas State University-Main Campus,Public,No,0.6602,13828,NULL,32200,15000,0.475,13828
Arkansas Tech University,Public,No,0.9475,11985,NULL,34100,11490,0.39,11985
University of Arkansas at Monticello,Public,No,NULL,10889,NULL,31500,7749,0.2323,10889
University of Central Arkansas,Public,No,0.8995,14375,NULL,38300,13000,0.4124,14375
Harding University,Private,No,0.7212,NULL,18963,40900,20500,0.6663,18963
Henderson State University,Public,No,0.7968,15357,NULL,35700,12350,0.3325,15357
Hendrix College,Private,No,0.798,NULL,20695,39700,20043,0.7453,20695
John Brown University,Private,No,0.7579,NULL,22583,45800,18025,0.7306,22583
Southern Arkansas University Main Campus,Public,No,0.6945,12778,NULL,35700,11000,0.3604,12778
University of Arkansas-Fort Smith,Public,No,NULL,10417,NULL,31000,8306,0.2982,10417
Academy of Art University,Private,Yes,NULL,NULL,33012,38600,12877,0.3973,33012
Art Center College of Design,Private,No,0.7036,NULL,43873,53600,28250,0.6759,43873
Azusa Pacific University,Private,No,0.6012,NULL,27267,51100,18970,0.6681,27267
Biola University,Private,No,0.7198,NULL,31492,44500,20000,0.7335,31492
California Baptist University,Private,No,0.7708,NULL,31231,42600,21522,0.5866,31231
California College of the Arts,Private,No,0.6369,NULL,30601,37200,25000,0.6121,30601
California Institute of Technology,Private,No,0.0774,NULL,23345,85900,8013,0.893,23345
California Lutheran University,Private,No,0.7275,NULL,25871,54200,18000,0.708,25871
California Polytechnic State University-San Luis Obispo,Public,No,0.3461,19979,NULL,66900,17000,0.7914,19979
